IMPERIAL COLLEGE SUPERSONIC WIND TUNNEL -  CONTROLLER RESULTS FILE 
Run time: 09:28:01 21-11-2022
Barometric pressure: 0.9994 BarA
Nozzle: Mach 2.0
Camera delay (ms): 0.0000
Time[s],PV[BarA],SP[BarA],IO[mA]
7.37800,1.01559,1.06816,8.91413
7.38900,1.01559,1.06816,8.91822
7.40000,1.01407,1.06816,8.92591
7.41000,1.01468,1.06816,8.93753
7.42200,1.01589,1.06816,8.93824
7.43200,1.01589,1.06816,8.94281
7.44200,1.01498,1.06816,8.94678
7.45200,1.01559,1.06816,8.95515
7.46300,1.01528,1.06816,8.95575
7.47300,1.01528,1.06816,8.96132
7.48400,1.01407,1.06816,8.96861
7.49400,1.01498,1.06816,8.97878
7.50400,1.01559,1.06816,8.98004
7.51400,1.01619,1.06816,8.98397
7.52400,1.01650,1.06816,8.98687
7.53400,1.01528,1.06816,8.99417
7.54600,1.01528,1.06816,8.99555
7.55700,1.01741,1.06816,8.99981
7.56800,1.01650,1.06816,9.00390
7.57800,1.01559,1.06816,9.01297
7.58800,1.01468,1.06816,9.01443
7.59900,1.01377,1.06816,9.02336
7.61000,1.01528,1.06816,9.03297
7.62100,1.01346,1.06816,9.04711
7.63200,1.01316,1.06816,9.05142
7.64200,1.01619,1.06816,9.05496
7.65200,1.01801,1.06816,9.05510
7.66200,1.01832,1.06816,9.05899
7.67300,1.01498,1.06816,9.05547
7.68400,1.01559,1.06816,9.05818
7.69500,1.01377,1.06816,9.06786
7.70500,1.01255,1.06816,9.08964
7.72200,1.01255,1.06816,9.09832
7.73200,1.02044,1.06816,9.09933
7.74300,1.01862,1.06816,9.10712
7.76300,1.01650,1.06816,9.10105
7.77400,1.01528,1.06816,9.10061
7.78400,1.01650,1.06816,9.10534
